name,report_title,content
THORAX,ULTRASOUND THORAX,"<h2 align=""center"">&nbsp;</h2>
&nbsp;<br />
&nbsp;<br />
<strong><u>FINDINGS:</u></strong><br />
&nbsp;
<ul>
	<li>No evidence of pleural or pericardial effusions noted.</li>
	<li>Bilateral diaphragmatic movements are normal.</li>
</ul>
&nbsp;<br />
&nbsp;
<h3><u><strong>IMPRESSION:&nbsp;</strong></u><strong>&nbsp;&nbsp;</strong>&nbsp;<br />
&nbsp;</h3>

<ul>
	<li><strong>NO SIGNIFICANT ABNORMALITY DETECTED. </strong></li>
</ul>
&nbsp;<br />
&nbsp;"
BILATERAL LOWER LIMB VENOUS DOPPLER STUDY,BILATERAL LOWER LIMB VENOUS DOPPLER STUDY,"All the bilateral lower limb veins &nbsp;were studied by real time B.Mode sonography and correlated with pulsed Doppler blood flow study.<br />
&nbsp;<br />
<strong><u>REAL TIME B.MODE &amp; COLOUR DOPPLER STUDY:</u></strong><br />
&nbsp;<br />
<strong><u>FINDINGS:</u></strong><br />
&nbsp;
<ul>
	<li>The external iliac vein, common femoral vein, superficial femoral vein and popliteal vein show normal flow,&nbsp; compressibility, respiratory variations and positive augmentation. No evidence of venous thrombosis.</li>
	<li>Deep veins of leg are also patent.</li>
	<li>Sapheno-femoral and sapheno-popliteal junctions are competent.</li>
	<li>Great saphenous and short saphenous veins are normal in caliber.</li>
	<li>No obvious superificial varicose veins.</li>
</ul>
All the deep veins are normal in course and caliber.<br />
&nbsp;
<h3 style=""margin: 0in 0in 0pt; text-align: justify;""><u><span lang=""EN-GB"" style=""font-family: &quot;Arial&quot;,&quot;sans-serif&quot;; font-size: 11pt; mso-bidi-font-size: 12.0pt;""><strong><font color=""#000000"">IMPRESSION: <o:p></o:p></font></strong></span></u></h3>
<br />
&nbsp;"
ARTERIAL DOPPLER OF BOTH LOWER LIMBS ,ARTERIAL DOPPLER OF BOTH LOWER LIMBS ,"All the lower limbs arteries were studied by real time B.Mode sonography and correlated with Pulsed Doppler Blood flow study.<br />
&nbsp;<br />
<strong><u>REAL TIME B.MODE &amp; PULSED DOPPLER STUDY:</u></strong><br />
&nbsp;<br />
<strong><u>RIGHT SIDE</u>: </strong><br />
The external iliac artery, common femoral artery, superficial femoral artery, the popliteal artery and the arteries of the leg show normal in course and calibre and demonstrate normal colour flow, velocities and triphasic spectral pattern.<br />
<strong>&nbsp;<u>LEFT SIDE:</u></strong><br />
The external iliac artery, common femoral artery, superficial femoral artery, the popliteal artery and the arteries of the leg show normal in course and calibre and&nbsp; demonstrate normal colour flow, velocities and triphasic spectral pattern.<br />
&nbsp;<br />
&nbsp;
<table border=""1"" cellpadding=""0"" cellspacing=""0"" width=""431"">
	<tbody>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">&nbsp;</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;""><strong>Right PSV cm/s</strong></td>
			<td style=""width: 113px; height: 22px;""><strong>Left PSV cm/s</strong></td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">&nbsp;</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">External Iliac</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">Common Femoral</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">Deep Femoral</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">Superficial Femoral</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">Popliteal</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">Anterior Tibial</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">Posterior Tibial</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
		<tr>
			<td nowrap=""nowrap"" style=""width: 204px; height: 22px;"">Dorsalis Pedis</td>
			<td nowrap=""nowrap"" style=""width: 113px; height: 22px;"">&nbsp;</td>
			<td style=""width: 113px; height: 22px;"">&nbsp;</td>
		</tr>
	</tbody>
</table>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br />
&nbsp;<br />
<strong><u>IMPRESSION</u></strong><strong>:&nbsp;&nbsp;</strong><br />
<strong>Normal arterial Doppler study of the lower limbs bilaterally. </strong>&nbsp;<br />
&nbsp;"
CAROTID AND VERTEBRAL ARTERIES DOPPLER,CAROTID AND VERTEBRAL ARTERIES DOPPLER,"<strong><u>FINDINGS:</u></strong>
<ul>
	<li>Both common carotid arteries are normal in course and calibre &amp; demonstrate normal colour flow and spectral profile.</li>
	<li>There is no focal stenotic plaques or vessel wall calcification</li>
	<li>Bilaterally the carotid bifurcation shows normal flow.</li>
	<li>Both internal and external carotid arteries show normal colour flow and spectral profile.</li>
	<li>Both vertebral arteries show antegrade normal flow and spectral profile.</li>
</ul>

<h4>&nbsp;</h4>

<h4><u><strong>DOPPLER PROFILE:&nbsp;&nbsp; </strong></u></h4>
&nbsp;

<table border=""1"" cellpadding=""0"" cellspacing=""0"">
	<tbody>
		<tr>
			<td style=""width: 128px;"">
			<h2><strong>SITE</strong></h2>
			</td>
			<td style=""width: 120px;""><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; P S V</strong><br />
			<strong>&nbsp;&nbsp; (cm / sec)</strong></td>
			<td style=""width: 120px;""><strong>&nbsp;&nbsp;&nbsp;&nbsp; E D V </strong><br />
			<strong>&nbsp; (cm / sec)</strong></td>
		</tr>
		<tr>
			<td style=""width: 128px; height: 5px;"">RCCA</td>
			<td style=""width: 120px; height: 5px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
			<td style=""width: 120px; height: 5px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
		</tr>
		<tr>
			<td style=""width: 128px;"">RICA</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
		</tr>
		<tr>
			<td style=""width: 128px;"">RT. VERT</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
		</tr>
		<tr>
			<td style=""width: 128px;"">RECA</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
		</tr>
		<tr>
			<td style=""width: 128px;"">LCCA</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
		</tr>
		<tr>
			<td style=""width: 128px;"">LICA</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
		</tr>
		<tr>
			<td style=""width: 128px;"">LT. VERT</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
		</tr>
		<tr>
			<td style=""width: 128px;"">LECA</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
			<td style=""width: 120px;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; cm/sec</td>
		</tr>
	</tbody>
</table>
<strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong><br />
&nbsp;<br />
<strong><u>IMPRESSION:&nbsp;&nbsp;</u></strong><br />
NORMAL DOPPLER STUDY OF THE CAROTID AND VERTEBRAL ARTERIES.<br />
NO HAEMODYNAMICALLY SIGNIFICANT STENOSIS OR OCCLUSION."
RENAL ARTERY DOPPLER,RENAL ARTERY DOPPLER,"<h1>&nbsp;</h1>
<strong><u>FINDINGS:</u></strong><br />
<strong>Aorta </strong>is normal in calibre with a peak systolic velocity of -- cm/s<br />
&nbsp;<br />
<strong>Kidneys </strong>are normal in size, position, shape and echopattern. Corticomedullary differentiation is maintained. No evidence of calculi or hydronephrosis.<br />
<strong>Right Kidney</strong> measures cm in length &amp; cm in parenchymal thickness.&nbsp;<br />
<strong>Left Kidney</strong> measures&nbsp; cm in length &amp; cm in parenchymal thickness.&nbsp;<br />
&nbsp;<br />
<strong><u>RIGHT RENAL ARTERY </u></strong><br />
The renal artery at&nbsp;origin, main renal artery and at the hilum demonstrates normal flow and spectral pattern.<br />
The intra-renal renal artery branches also demonstrate normal flow, spectral pattern and resistive indices.<br />
&nbsp;
<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width: 613px;"" width=""613"">
	<tbody>
		<tr>
			<td nowrap=""nowrap"" style=""width: 613px; height: 11px;"">&nbsp;
			<table border=""1"" cellpadding=""0"" cellspacing=""0"" style=""width: 611px;"" width=""611"">
				<tbody>
					<tr>
						<td style=""width: 157px;""><strong>Arteries </strong></td>
						<td style=""width: 129px;""><strong>PSV / EDV(cm/s)</strong></td>
						<td style=""width: 158px;""><strong>RI</strong></td>
						<td style=""width: 166px;""><strong>Acceleration Time</strong></td>
					</tr>
					<tr>
						<td style=""width: 157px;""><strong>Renal Artery at origin</strong></td>
						<td style=""width: 129px;"">&nbsp;</td>
						<td style=""width: 158px;"">&nbsp;</td>
						<td style=""width: 166px;"">&nbsp;</td>
					</tr>
					<tr>
						<td style=""width: 157px;""><strong>Main renal Artery </strong></td>
						<td style=""width: 129px;"">&nbsp;</td>
						<td style=""width: 158px;"">&nbsp;</td>
						<td style=""width: 166px;"">&nbsp;</td>
					</tr>
					<tr>
						<td style=""width: 157px;""><strong>Renal artery at hilum</strong></td>
						<td style=""width: 129px;"">&nbsp;</td>
						<td style=""width: 158px;"">&nbsp;</td>
						<td style=""width: 166px;"">&nbsp;</td>
					</tr>
				</tbody>
			</table>
			&nbsp;

			<table border=""1"" cellpadding=""0"" cellspacing=""0"" style=""width: 611px;"" width=""611"">
				<tbody>
					<tr>
						<td style=""width: 167px;""><strong>Arteries</strong></td>
						<td style=""width: 120px;""><strong>PSV / EDV(cm/s)</strong></td>
						<td style=""width: 156px;""><strong>RI</strong></td>
						<td style=""width: 168px;""><strong>Acceleration Time</strong></td>
					</tr>
					<tr>
						<td style=""width: 167px;""><strong>Segmental&nbsp; - Upper</strong></td>
						<td style=""width: 120px;"">&nbsp;</td>
						<td style=""width: 156px;"">&nbsp;</td>
						<td style=""width: 168px;"">&nbsp;</td>
					</tr>
					<tr>
						<td style=""width: 167px;""><strong>Segmental&nbsp; - Mid</strong></td>
						<td style=""width: 120px;"">&nbsp;</td>
						<td style=""width: 156px;"">&nbsp;</td>
						<td style=""width: 168px;"">&nbsp;</td>
					</tr>
					<tr>
						<td style=""width: 167px;""><strong>Segmental - Lower </strong></td>
						<td style=""width: 120px;"">&nbsp;</td>
						<td style=""width: 156px;"">&nbsp;</td>
						<td style=""width: 168px;"">&nbsp;</td>
					</tr>
				</tbody>
			</table>
			</td>
		</tr>
	</tbody>
</table>
&nbsp;<br />
<strong><u>LEFT RENAL ARTERY </u></strong><br />
The renal artery at&nbsp;origin, main renal artery and at the hilum demonstrates normal flow and spectral pattern.<br />
The intra-renal renal artery branches also demonstrate normal flow, spectral pattern and resistive indices.<br />
&nbsp;<br />
&nbsp;
<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width: 613px;"" width=""613"">
	<tbody>
		<tr>
			<td nowrap=""nowrap"" style=""width: 613px; height: 11px;"">&nbsp;
			<table border=""1"" cellpadding=""0"" cellspacing=""0"" style=""width: 611px;"" width=""611"">
				<tbody>
					<tr>
						<td style=""width: 157px;""><strong>Arteries </strong></td>
						<td style=""width: 129px;""><strong>PSV / EDV(cm/s)</strong></td>
						<td style=""width: 158px;""><strong>RI</strong></td>
						<td style=""width: 166px;""><strong>Acceleration Time</strong></td>
					</tr>
					<tr>
						<td style=""width: 157px;""><strong>Renal Artery at origin</strong></td>
						<td style=""width: 129px;"">&nbsp;</td>
						<td style=""width: 158px;"">&nbsp;</td>
						<td style=""width: 166px;"">&nbsp;</td>
					</tr>
					<tr>
						<td style=""width: 157px;""><strong>Main renal Artery </strong></td>
						<td style=""width: 129px;"">&nbsp;</td>
						<td style=""width: 158px;"">&nbsp;</td>
						<td style=""width: 166px;"">&nbsp;</td>
					</tr>
					<tr>
						<td style=""width: 157px;""><strong>Renal artery at hilum</strong></td>
						<td style=""width: 129px;"">&nbsp;</td>
						<td style=""width: 158px;"">&nbsp;</td>
						<td style=""width: 166px;"">&nbsp;</td>
					</tr>
				</tbody>
			</table>
			&nbsp;

			<table border=""1"" cellpadding=""0"" cellspacing=""0"" style=""width: 611px;"" width=""611"">
				<tbody>
					<tr>
						<td style=""width: 167px;""><strong>Arteries</strong></td>
						<td style=""width: 120px;""><strong>PSV / EDV(cm/s)</strong></td>
						<td style=""width: 156px;""><strong>RI</strong></td>
						<td style=""width: 168px;""><strong>Acceleration Time</strong></td>
					</tr>
					<tr>
						<td style=""width: 167px;""><strong>Segmental&nbsp; - Upper</strong></td>
						<td style=""width: 120px;"">&nbsp;</td>
						<td style=""width: 156px;"">&nbsp;</td>
						<td style=""width: 168px;"">&nbsp;</td>
					</tr>
					<tr>
						<td style=""width: 167px;""><strong>Segmental&nbsp; - Mid</strong></td>
						<td style=""width: 120px;"">&nbsp;</td>
						<td style=""width: 156px;"">&nbsp;</td>
						<td style=""width: 168px;"">&nbsp;</td>
					</tr>
					<tr>
						<td style=""width: 167px;""><strong>Segmental - Lower </strong></td>
						<td style=""width: 120px;"">&nbsp;</td>
						<td style=""width: 156px;"">&nbsp;</td>
						<td style=""width: 168px;"">&nbsp;</td>
					</tr>
				</tbody>
			</table>
			</td>
		</tr>
	</tbody>
</table>
&nbsp;<br />
&nbsp;<br />
<strong><u>IMPRESSION:</u></strong>&nbsp;&nbsp;

<ul>
	<li><strong>MORPHOLOGICALLY NORMAL KIDNEYS</strong><strong> BILATERALLY. </strong></li>
	<li><strong>THE NATURE OF THE INTRARENAL ARTERIAL WAVE FORMS SHOWS NO EVIDENCE OF MAIN RENAL ARTERY STENOSIS.</strong></li>
</ul>

<h2><span style=""font-size: 12px;""><strong>Disclaimer:</strong> Normal intra renal waveforms may be present even in renal artery stenosis upto 60 %</span></h2>
&nbsp;<br />
&nbsp;<br />
&nbsp;<br />
&nbsp;<br />
&nbsp;<br />
&nbsp;"
